country,sex,age_group,year,labour_force_000
aut,mf,adult,1997,3230.64111328125
aut,m,total,1997,2138.19189453125
aut,m,youth,1997,289.81298828125
aut,m,adult,1997,1848.3790283203125
aut,f,total,1997,1641.949951171875
aut,f,youth,1997,259.68798828125
aut,f,adult,1997,1382.261962890625
aut,mf,total,1998,3786.634033203125
aut,mf,youth,1998,532.0750122070312
aut,mf,adult,1998,3254.55908203125
aut,m,total,1998,2138.367919921875
aut,m,youth,1998,278.98199462890625
aut,m,adult,1998,1859.385986328125
aut,f,total,1998,1648.2659912109375
aut,f,youth,1998,253.09300231933594
aut,f,adult,1998,1395.1729736328125
aut,mf,total,1999,3810.823974609375
aut,mf,youth,1999,525.405029296875
aut,mf,adult,1999,3285.4189453125
aut,m,total,1999,2147.31103515625
aut,m,youth,1999,281.968994140625
aut,m,adult,1999,1865.342041015625
aut,f,total,1999,1663.512939453125
aut,f,youth,1999,243.43600463867188
aut,f,adult,1999,1420.0770263671875
aut,mf,total,2000,3819.462890625
aut,mf,youth,2000,516.218994140625
aut,mf,adult,2000,3303.243896484375
aut,m,total,2000,2147.510986328125
aut,m,youth,2000,279.5199890136719
aut,m,adult,2000,1867.990966796875
aut,f,total,2000,1671.9520263671875
aut,f,youth,2000,236.69900512695312
aut,f,adult,2000,1435.2530517578125
aut,mf,total,2001,3848.24609375
aut,mf,youth,2001,509.12799072265625
aut,mf,adult,2001,3339.117919921875
aut,m,total,2001,2148.5859375
aut,m,youth,2001,275.6549987792969
aut,m,adult,2001,1872.9310302734375
aut,f,total,2001,1699.6600341796875
aut,f,youth,2001,233.47300720214844
aut,f,adult,2001,1466.18701171875
aut,mf,total,2002,3918.285888671875
aut,mf,youth,2002,513.1090087890625
aut,mf,adult,2002,3405.177001953125
aut,m,total,2002,2172.9970703125
aut,m,youth,2002,279.1109924316406
aut,m,adult,2002,1893.885986328125
aut,f,total,2002,1745.2889404296875
aut,f,youth,2002,233.9980010986328
aut,f,adult,2002,1511.291015625
aut,mf,total,2003,3963.114990234375
aut,mf,youth,2003,518.1170043945312
aut,mf,adult,2003,3444.998046875
aut,m,total,2003,2188.820068359375
aut,m,youth,2003,283.2149963378906
aut,m,adult,2003,1905.60498046875
aut,f,total,2003,1774.2950439453125
aut,f,youth,2003,234.90199279785156
aut,f,adult,2003,1539.3929443359375
aut,mf,total,2004,3890.18994140625
aut,mf,youth,2004,547.4019775390625
aut,mf,adult,2004,3342.7880859375
aut,m,total,2004,2129.236083984375
aut,m,youth,2004,289.77099609375
aut,m,adult,2004,1839.4649658203125
aut,f,total,2004,1760.9539794921875
aut,f,youth,2004,257.6310119628906
aut,f,adult,2004,1503.322998046875
aut,mf,total,2005,3971.001953125
aut,mf,youth,2005,568.6170043945312
aut,mf,adult,2005,3402.385009765625
aut,m,total,2005,2163.76806640625
aut,m,youth,2005,301.8080139160156
aut,m,adult,2005,1861.9599609375
aut,f,total,2005,1807.2340087890625
aut,f,youth,2005,266.8089904785156
aut,f,adult,2005,1540.425048828125
aut,mf,total,2006,4037.803955078125
aut,mf,youth,2006,569.1719970703125
aut,mf,adult,2006,3468.632080078125
aut,m,total,2006,2193.450927734375
aut,m,youth,2006,301.41900634765625
aut,m,adult,2006,1892.031982421875
aut,f,total,2006,1844.35302734375
aut,f,youth,2006,267.75299072265625
aut,f,adult,2006,1576.5999755859375
aut,mf,total,2007,4124.0390625
aut,mf,youth,2007,585.3389892578125
aut,mf,adult,2007,3538.699951171875
aut,m,total,2007,2238.51904296875
aut,m,youth,2007,307.82000732421875
aut,m,adult,2007,1930.698974609375
aut,f,total,2007,1885.52001953125
aut,f,youth,2007,277.5190124511719
aut,f,adult,2007,1608.0009765625
aut,mf,total,2008,4166.18017578125
aut,mf,youth,2008,588.3699951171875
aut,mf,adult,2008,3577.81005859375
aut,m,total,2008,2251.110107421875
aut,m,youth,2008,309.7919921875
aut,m,adult,2008,1941.3179931640625
aut,f,total,2008,1915.0699462890625
aut,f,youth,2008,278.5780029296875
aut,f,adult,2008,1636.491943359375
aut,mf,total,2009,4205.22900390625
aut,mf,youth,2009,587.3920288085938
aut,mf,adult,2009,3617.8369140625
aut,m,total,2009,2257.37890625
aut,m,youth,2009,308.3550109863281
aut,m,adult,2009,1949.0240478515625
aut,f,total,2009,1947.8499755859375
aut,f,youth,2009,279.0369873046875
aut,f,adult,2009,1668.81298828125
aut,mf,total,2010,4220.1982421875
aut,mf,youth,2010,573.6240234375
aut,mf,adult,2010,3646.573974609375
aut,m,total,2010,2260.72900390625
aut,m,youth,2010,306.44000244140625
aut,m,adult,2010,1954.2889404296875
aut,f,total,2010,1959.468994140625
aut,f,youth,2010,267.1839904785156
aut,f,adult,2010,1692.2850341796875
aut,mf,total,2011,4246.34521484375
aut,mf,youth,2011,579.8610229492188
aut,mf,adult,2011,3666.48388671875
aut,m,total,2011,2265.39208984375
aut,m,youth,2011,309.5409851074219
aut,m,adult,2011,1955.8509521484375
aut,f,total,2011,1980.9530029296875
aut,f,youth,2011,270.32000732421875
aut,f,adult,2011,1710.633056640625
aut,mf,total,2012,4293.47412109375
aut,mf,youth,2012,581.6270141601562
aut,mf,adult,2012,3711.846923828125
aut,m,total,2012,2284.072998046875
aut,m,youth,2012,309.04400634765625
aut,m,adult,2012,1975.029052734375
aut,f,total,2012,2009.4010009765625
aut,f,youth,2012,272.5830078125
aut,f,adult,2012,1736.8179931640625
aut,mf,total,2013,4336.15576171875
aut,mf,youth,2013,576.7329711914062
aut,mf,adult,2013,3759.423095703125
aut,m,total,2013,2304.007080078125
aut,m,youth,2013,305.3380126953125
aut,m,adult,2013,1998.6689453125
aut,f,total,2013,2032.1490478515625
aut,f,youth,2013,271.3949890136719
aut,f,adult,2013,1760.7540283203125
aut,mf,total,2014,4357.669921875
aut,mf,youth,2014,566.4320068359375
aut,mf,adult,2014,3791.238037109375
aut,m,total,2014,2309.9189453125
aut,m,youth,2014,295.98699951171875
aut,m,adult,2014,2013.9320068359375
aut,f,total,2014,2047.7509765625
aut,f,youth,2014,270.44500732421875
aut,f,adult,2014,1777.3060302734375
aze,mf,total,2009,4531.89208984375
aze,mf,youth,2009,652.60302734375
aze,mf,adult,2009,3879.2890625
aze,m,total,2009,2314.011962890625
aze,m,youth,2009,306.59698486328125
aze,m,adult,2009,2007.4150390625
aze,f,total,2009,2217.8798828125
aze,f,youth,2009,346.0060119628906
aze,f,adult,2009,1871.8740234375
aze,mf,total,2010,4587.39990234375
aze,mf,youth,2010,607.7529907226562
aze,mf,adult,2010,3979.64697265625
aze,m,total,2010,2329.699951171875
aze,m,youth,2010,232.77000427246094
aze,m,adult,2010,2096.929931640625
aze,f,total,2010,2257.699951171875
aze,f,youth,2010,374.9830017089844
aze,f,adult,2010,1882.717041015625
aze,mf,total,2011,4626.02880859375
aze,mf,youth,2011,593.156982421875
aze,mf,adult,2011,4032.8720703125
aze,m,total,2011,2355.0009765625
aze,m,youth,2011,309.6390075683594
aze,m,adult,2011,2045.362060546875
aze,f,total,2011,2271.028076171875
aze,f,youth,2011,283.51800537109375
aze,f,adult,2011,1987.510009765625
aze,mf,total,2012,4688.408203125
aze,mf,youth,2012,580.0009765625
aze,mf,adult,2012,4108.4072265625
aze,m,total,2012,2395.346923828125
aze,m,youth,2012,304.6199951171875
aze,m,adult,2012,2090.72705078125
aze,f,total,2012,2293.06103515625
aze,f,youth,2012,275.3810119628906
aze,f,adult,2012,2017.6800537109375
aze,mf,total,2013,4757.7998046875
aze,mf,youth,2013,576.593017578125
aze,mf,adult,2013,4181.20703125
aze,m,total,2013,2436.0
aze,m,youth,2013,300.1809997558594
aze,m,adult,2013,2135.819091796875
aze,f,total,2013,2321.800048828125
aze,f,youth,2013,276.4119873046875
aze,f,adult,2013,2045.387939453125
bhs,mf,total,2009,184.02000427246094
bhs,m,total,2009,93.9000015258789
bhs,f,total,2009,90.12000274658203
bhr,mf,total,2001,308.34100341796875
bhr,m,total,2001,241.4759979248047
bhr,f,total,2001,66.86499786376953
bhr,mf,total,2004,336.4159851074219
bhr,m,total,2004,255.4709930419922
