country,sex,age_group,year,long_term_unemployment_rate
aut,f,adult,1994,1.2000000476837158
aut,mf,total,1995,1.2999999523162842
aut,mf,youth,1995,1.0
aut,mf,adult,1995,1.2999999523162842
aut,m,total,1995,1.100000023841858
aut,m,youth,1995,1.0
aut,m,adult,1995,1.100000023841858
aut,f,total,1995,1.5
aut,f,youth,1995,0.8999999761581421
aut,f,adult,1995,1.600000023841858
aut,mf,total,1996,1.2999999523162842
aut,mf,youth,1996,1.2000000476837158
aut,mf,adult,1996,1.2999999523162842
aut,m,total,1996,1.2000000476837158
aut,m,youth,1996,1.2999999523162842
aut,m,adult,1996,1.2000000476837158
aut,f,total,1996,1.5
aut,f,youth,1996,1.2000000476837158
aut,f,adult,1996,1.600000023841858
aut,mf,total,1997,1.399999976158142
aut,mf,youth,1997,1.2000000476837158
aut,mf,adult,1997,1.399999976158142
aut,m,total,1997,1.399999976158142
aut,m,youth,1997,1.399999976158142
aut,m,adult,1997,1.399999976158142
aut,f,total,1997,1.5
aut,f,youth,1997,1.0
aut,f,adult,1997,1.5
aut,mf,total,1998,1.600000023841858
aut,mf,youth,1998,1.100000023841858
aut,mf,adult,1998,1.7000000476837158
aut,m,total,1998,1.600000023841858
aut,m,youth,1998,0.699999988079071
aut,m,adult,1998,1.7000000476837158
aut,f,total,1998,1.7000000476837158
aut,f,youth,1998,1.5
aut,f,adult,1998,1.7000000476837158
aut,mf,total,1999,1.399999976158142
aut,mf,youth,1999,0.8999999761581421
aut,mf,adult,1999,1.5
aut,m,total,1999,1.2999999523162842
aut,m,youth,1999,0.6000000238418579
aut,m,adult,1999,1.399999976158142
aut,f,total,1999,1.5
aut,f,youth,1999,1.2000000476837158
aut,f,adult,1999,1.5
aut,mf,total,2000,1.2000000476837158
aut,mf,youth,2000,0.800000011920929
aut,mf,adult,2000,1.2999999523162842
aut,m,total,2000,1.2999999523162842
aut,m,youth,2000,0.699999988079071
aut,m,adult,2000,1.399999976158142
aut,f,total,2000,1.100000023841858
aut,f,youth,2000,0.8999999761581421
aut,f,adult,2000,1.100000023841858
aut,mf,total,2001,0.8999999761581421
aut,mf,youth,2001,0.699999988079071
aut,mf,adult,2001,1.0
aut,m,total,2001,0.8999999761581421
aut,m,youth,2001,0.5
aut,m,adult,2001,1.0
aut,f,total,2001,0.8999999761581421
aut,f,youth,2001,0.8999999761581421
aut,f,adult,2001,0.8999999761581421
aut,mf,total,2002,0.8999999761581421
aut,mf,youth,2002,0.6000000238418579
aut,mf,adult,2002,1.0
aut,m,total,2002,0.800000011920929
aut,m,youth,2002,0.4000000059604645
aut,m,adult,2002,0.8999999761581421
aut,f,total,2002,1.100000023841858
aut,f,youth,2002,0.8999999761581421
aut,f,adult,2002,1.100000023841858
aut,mf,total,2003,1.100000023841858
aut,mf,youth,2003,0.699999988079071
aut,mf,adult,2003,1.2000000476837158
aut,m,total,2003,1.2000000476837158
aut,m,youth,2003,0.800000011920929
aut,m,adult,2003,1.2999999523162842
aut,f,total,2003,1.0
aut,f,youth,2003,0.5
aut,f,adult,2003,1.100000023841858
aut,mf,total,2004,1.5
aut,mf,youth,2004,1.7999999523162842
aut,mf,adult,2004,1.5
aut,m,total,2004,1.5
aut,m,youth,2004,1.7000000476837158
aut,m,adult,2004,1.399999976158142
aut,f,total,2004,1.600000023841858
aut,f,youth,2004,1.899999976158142
aut,f,adult,2004,1.5
aut,mf,total,2005,1.399999976158142
aut,mf,youth,2005,1.5
aut,mf,adult,2005,1.399999976158142
aut,m,total,2005,1.399999976158142
aut,m,youth,2005,1.399999976158142
aut,m,adult,2005,1.399999976158142
aut,f,total,2005,1.5
aut,f,youth,2005,1.5
aut,f,adult,2005,1.5
aut,mf,total,2006,1.5
aut,mf,youth,2006,1.5
aut,mf,adult,2006,1.5
aut,m,total,2006,1.5
aut,m,youth,2006,1.7000000476837158
aut,m,adult,2006,1.399999976158142
aut,f,total,2006,1.399999976158142
aut,f,youth,2006,1.2999999523162842
aut,f,adult,2006,1.5
aut,mf,total,2007,1.2999999523162842
aut,mf,youth,2007,1.2999999523162842
aut,mf,adult,2007,1.2999999523162842
aut,m,total,2007,1.2000000476837158
aut,m,youth,2007,1.2999999523162842
aut,m,adult,2007,1.2000000476837158
aut,f,total,2007,1.5
aut,f,youth,2007,1.2000000476837158
aut,f,adult,2007,1.5
aut,mf,total,2008,1.0
aut,mf,youth,2008,1.2000000476837158
aut,mf,adult,2008,1.0
aut,m,total,2008,1.0
aut,m,youth,2008,1.2000000476837158
aut,m,adult,2008,1.0
aut,f,total,2008,1.0
aut,f,youth,2008,1.100000023841858
aut,f,adult,2008,1.0
aut,mf,total,2009,1.100000023841858
aut,mf,youth,2009,1.399999976158142
aut,mf,adult,2009,1.100000023841858
aut,m,total,2009,1.2000000476837158
aut,m,youth,2009,1.5
aut,m,adult,2009,1.2000000476837158
aut,f,total,2009,1.100000023841858
aut,f,youth,2009,1.100000023841858
aut,f,adult,2009,1.100000023841858
aut,mf,total,2010,1.2000000476837158
aut,mf,youth,2010,1.600000023841858
aut,mf,adult,2010,1.2000000476837158
aut,m,total,2010,1.399999976158142
aut,m,youth,2010,1.7000000476837158
aut,m,adult,2010,1.2999999523162842
aut,f,total,2010,1.0
aut,f,youth,2010,1.5
aut,f,adult,2010,1.0
aut,mf,total,2011,1.2000000476837158
aut,mf,youth,2011,1.2999999523162842
aut,mf,adult,2011,1.2000000476837158
aut,m,total,2011,1.2999999523162842
aut,m,youth,2011,1.100000023841858
aut,m,adult,2011,1.2999999523162842
aut,f,total,2011,1.100000023841858
aut,f,youth,2011,1.5
aut,f,adult,2011,1.100000023841858
aut,mf,total,2012,1.2000000476837158
aut,mf,youth,2012,1.399999976158142
aut,mf,adult,2012,1.2000000476837158
aut,m,total,2012,1.2999999523162842
aut,m,youth,2012,1.399999976158142
aut,m,adult,2012,1.2999999523162842
aut,f,total,2012,1.100000023841858
aut,f,youth,2012,1.2999999523162842
aut,f,adult,2012,1.100000023841858
aut,mf,total,2013,1.2999999523162842
aut,mf,youth,2013,1.399999976158142
aut,mf,adult,2013,1.2999999523162842
aut,m,total,2013,1.399999976158142
aut,m,youth,2013,1.2000000476837158
aut,m,adult,2013,1.399999976158142
aut,f,total,2013,1.2000000476837158
aut,f,youth,2013,1.7000000476837158
aut,f,adult,2013,1.2000000476837158
aut,mf,total,2014,1.5
aut,mf,youth,2014,1.399999976158142
aut,mf,adult,2014,1.5
aut,m,total,2014,1.600000023841858
aut,m,youth,2014,1.399999976158142
aut,m,adult,2014,1.7000000476837158
aut,f,total,2014,1.399999976158142
aut,f,youth,2014,1.399999976158142
aut,f,adult,2014,1.399999976158142
aze,mf,total,2009,3.9000000953674316
aze,mf,youth,2009,8.699999809265137
aze,mf,adult,2009,3.0999999046325684
aze,m,total,2009,2.5999999046325684
aze,m,youth,2009,6.199999809265137
aze,m,adult,2009,2.0999999046325684
aze,f,total,2009,5.199999809265137
aze,f,youth,2009,10.899999618530273
aze,f,adult,2009,4.099999904632568
aze,mf,total,2010,3.700000047683716
aze,mf,youth,2010,11.199999809265137
aze,mf,adult,2010,2.5999999046325684
aze,m,total,2010,2.700000047683716
aze,m,youth,2010,12.5
aze,m,adult,2010,1.600000023841858
aze,f,total,2010,4.699999809265137
aze,f,youth,2010,10.300000190734863
aze,f,adult,2010,3.5999999046325684
aze,mf,total,2011,3.700000047683716
aze,mf,youth,2011,10.600000381469727
aze,mf,adult,2011,2.5999999046325684
aze,m,total,2011,2.700000047683716
aze,m,youth,2011,9.800000190734863
aze,m,adult,2011,1.600000023841858
aze,f,total,2011,4.699999809265137
aze,f,youth,2011,11.5
aze,f,adult,2011,3.700000047683716
aze,mf,total,2012,3.5
aze,mf,youth,2012,10.199999809265137
aze,mf,adult,2012,2.5
aze,m,total,2012,2.5999999046325684
aze,m,youth,2012,7.599999904632568
aze,m,adult,2012,1.899999976158142
aze,f,total,2012,4.400000095367432
aze,f,youth,2012,13.0
aze,f,adult,2012,3.200000047683716
aze,mf,total,2013,3.299999952316284
aze,mf,youth,2013,9.899999618530273
aze,mf,adult,2013,2.4000000953674316
aze,m,total,2013,2.5
aze,m,youth,2013,7.699999809265137
aze,m,adult,2013,1.7000000476837158
aze,f,total,2013,4.199999809265137
aze,f,youth,2013,12.300000190734863
aze,f,adult,2013,3.0999999046325684
bhs,mf,total,2009,4.699999809265137
bhs,m,total,2009,4.099999904632568
bhs,f,total,2009,5.300000190734863
bhr,mf,total,2001,1.600000023841858
bhr,m,total,2001,1.2000000476837158
bhr,f,total,2001,2.9000000953674316
